,nl,my,mx,jp,lv,lt,gb,gr,fr,fi,ee,es,ro,ph,pt,pl,nz,no,de,dk,cz,ch,co,ca,za,vn,us,uy,it,il,ie,hk,hu,br,bg,be,at,ar,au,tw,tr,th,se,sg
12,2.6950000000000003,2.408,2.566,2.566,2.535,2.586,2.586,2.408,2.545,2.766,2.408,2.648,2.4090000000000003,2.57,2.443,2.431,2.586,2.492,2.451,2.4699999999999998,2.6479999999999997,2.408,2.6399999999999997,2.408,2.408,2.408,2.2680000000000002,2.648,2.416,2.604,2.586,2.408,2.6479999999999997,2.567,2.4619999999999997,2.586,2.451,2.648,2.586,2.408,2.41,2.57,2.408,2.408
13,2.6950000000000003,2.408,2.566,2.566,2.535,2.586,2.586,2.408,2.545,2.766,2.408,2.648,2.408,2.57,2.408,2.431,2.586,2.492,2.733,2.4699999999999998,2.408,2.733,2.6399999999999997,2.408,2.408,2.408,2.2680000000000002,2.648,2.416,2.604,2.586,2.408,2.6479999999999997,2.577,2.483,2.408,2.733,2.648,2.586,2.408,2.313,2.57,2.408,2.408
14,2.6950000000000003,2.408,2.566,2.566,2.535,2.586,2.586,2.408,2.545,2.766,2.408,2.648,2.408,2.57,2.408,2.447,2.586,2.492,2.733,2.4699999999999998,2.408,2.733,2.6399999999999997,2.408,2.408,2.6020000000000003,2.2680000000000002,2.648,2.416,2.604,2.586,2.408,2.6479999999999997,2.577,2.483,2.408,2.733,2.648,2.586,2.408,2.313,2.57,2.408,2.408
15,2.6950000000000003,2.408,2.566,2.566,2.535,2.586,2.586,2.408,2.545,2.766,2.408,2.648,2.408,2.57,2.408,2.5229999999999997,2.586,2.3529999999999998,2.733,2.424,2.408,2.733,2.6399999999999997,2.408,2.408,2.408,2.37,2.648,2.416,2.464,2.586,2.408,2.6479999999999997,2.577,2.483,2.408,2.733,2.648,2.498,2.408,2.41,2.57,2.408,2.408
16,2.6950000000000003,2.408,2.566,2.566,2.535,2.412,2.436,2.412,2.545,2.766,2.417,2.648,2.408,2.57,2.408,2.5229999999999997,2.424,2.4170000000000003,2.733,2.441,2.408,2.412,2.6399999999999997,2.408,2.408,2.408,2.37,2.648,2.416,2.464,2.436,2.408,2.408,2.6149999999999998,2.483,2.408,2.733,2.648,2.408,2.408,2.408,2.564,2.408,2.408
17,2.6950000000000003,2.408,2.566,2.481,2.535,2.4170000000000003,2.436,2.412,2.545,2.766,2.417,2.648,2.408,2.57,2.408,2.428,2.424,2.4170000000000003,2.733,2.441,2.408,2.412,2.6399999999999997,2.4170000000000003,2.408,2.408,2.37,2.648,2.416,2.4579999999999997,2.436,2.408,2.408,2.577,2.483,2.408,2.733,2.648,2.408,2.408,2.313,2.564,2.408,2.408
18,2.6950000000000003,2.408,2.566,2.481,2.535,2.4170000000000003,2.436,2.412,2.545,2.766,2.4170000000000003,2.648,2.408,2.57,2.408,2.428,2.424,2.4170000000000003,2.733,2.441,2.412,2.4170000000000003,2.6399999999999997,2.4170000000000003,2.408,2.408,2.37,2.648,2.416,2.6479999999999997,2.436,2.408,2.4170000000000003,2.577,2.483,2.412,2.733,2.648,2.412,2.408,2.464,2.564,2.412,2.408
19,2.476,2.408,2.566,2.481,2.535,2.4170000000000003,2.436,2.4170000000000003,2.545,2.766,2.4170000000000003,2.648,2.412,2.57,2.443,2.428,2.424,2.4170000000000003,2.424,2.441,2.4170000000000003,2.4170000000000003,2.6399999999999997,2.4170000000000003,2.4170000000000003,2.408,2.4170000000000003,2.648,2.4170000000000003,2.6479999999999997,2.492,2.4170000000000003,2.4170000000000003,2.6180000000000003,2.483,2.4170000000000003,2.424,2.648,2.424,2.408,2.464,2.564,2.412,2.4170000000000003
20,2.6950000000000003,2.408,2.566,2.481,2.535,2.586,2.586,2.408,2.586,2.766,2.417,2.648,2.421,2.57,2.443,2.5229999999999997,2.666,2.408,2.733,2.586,2.6479999999999997,2.41,2.6399999999999997,2.497,2.6479999999999997,2.6479999999999997,2.497,2.648,2.475,2.6479999999999997,2.586,2.408,2.6479999999999997,2.6180000000000003,2.5300000000000002,2.586,2.733,2.648,2.666,2.408,2.464,2.564,2.421,2.6479999999999997
21,2.6950000000000003,2.408,2.566,2.481,2.535,2.586,2.586,2.408,2.545,2.766,2.417,2.648,2.408,2.57,2.408,2.5229999999999997,2.586,2.408,2.733,2.422,2.6479999999999997,2.565,2.6399999999999997,2.497,2.6479999999999997,2.6479999999999997,2.497,2.648,2.475,2.6479999999999997,2.586,2.408,2.6479999999999997,2.6180000000000003,2.5300000000000002,2.458,2.733,2.648,2.408,2.408,2.464,2.564,2.408,2.6479999999999997
22,2.6950000000000003,2.408,2.566,2.481,2.535,2.586,2.586,2.408,2.545,2.766,2.408,2.648,2.408,2.57,2.6180000000000003,2.5229999999999997,2.408,2.5389999999999997,2.733,2.422,2.6479999999999997,2.565,2.6399999999999997,2.497,2.6479999999999997,2.6479999999999997,2.497,2.648,2.416,2.6479999999999997,2.586,2.408,2.6479999999999997,2.6180000000000003,2.5300000000000002,2.408,2.733,2.648,2.408,2.408,2.498,2.564,2.408,2.6479999999999997
23,2.476,2.408,2.566,2.481,2.535,2.586,2.586,2.408,2.545,2.766,2.408,2.648,2.408,2.57,2.6180000000000003,2.5229999999999997,2.408,2.5389999999999997,2.733,2.422,2.6479999999999997,2.565,2.592,2.408,2.6479999999999997,2.6479999999999997,2.497,2.648,2.463,2.6479999999999997,2.586,2.408,2.6479999999999997,2.6180000000000003,2.5300000000000002,2.408,2.733,2.648,2.408,2.408,2.498,2.564,2.408,2.6479999999999997
24,2.476,2.408,2.566,2.481,2.535,2.622,2.586,2.498,2.545,2.766,2.408,2.648,2.408,2.362,2.6180000000000003,2.5229999999999997,2.586,2.5389999999999997,2.733,2.422,2.6479999999999997,2.565,2.592,2.408,2.6479999999999997,2.6479999999999997,2.497,2.648,2.416,2.6479999999999997,2.586,2.408,2.6479999999999997,2.644,2.5300000000000002,2.408,2.733,2.648,2.408,2.408,2.498,2.564,2.408,2.6479999999999997
